Tank,Treatment,Genotype_Code,Genotype,T3,T7
H5,H,E_neon,U33,H,H
H5,H,E_orange,U100,H,D
H5,H,E_pink,U63,H,D
H5,H,E_aqua,U41,H,
H5,H,E_gray,U43,H,
D1,D,A_red,U91,H,H
D1,D,A_yellow,U93,H,D
D1,D,A_green,M6,H,D
D1,D,A_purple,M5,H,H
D1,D,A_navy,M7,H,H
D1,D,A_neon,M3,H,D
D1,D,A_orange,U8,H,H
D1,D,A_pink,U4,H,D
D1,D,A_aqua,K2,H,D
D1,D,A_gray,U5,H,D
D1,D,B_red,U67,H,H
D1,D,B_yellow,B10,H,H
D1,D,B_green,U3,H,D
D1,D,B_purple,U46,H,D
D1,D,B_navy,KW15,H,H
D1,D,B_neon,U42,H,D
D1,D,B_orange,U44,H,H
D1,D,B_pink,M10,H,D
D1,D,B_aqua,U20,H,H
D1,D,B_gray,U69,H,H
D1,D,C_red,U62,H,H
D1,D,C_yellow,U14,H,H
D1,D,C_green,U31,H,H
D1,D,C_purple,U32,H,H
D1,D,C_navy,U11,H,H
D1,D,C_neon,U35,H,D
D1,D,C_orange,U37,H,H
D1,D,C_pink,U9,H,H
D1,D,C_aqua,U72,H,H
D1,D,C_gray,U75,H,H
D1,D,D_red,M1,D,D
D1,D,D_yellow,U55,H,D
D1,D,D_green,K1,H,H
D1,D,D_purple,U19,H,D
D1,D,D_navy,M2,H,D
D1,D,D_neon,B8,H,D
D1,D,D_orange,U39,H,D
D1,D,D_pink,U98,H,D
D1,D,D_aqua,U15,H,D
D1,D,D_gray,U17,H,D
D1,D,E_red,U47,H,D
D1,D,E_yellow,U71,H,H
D1,D,E_green,U58,D,D
D1,D,E_purple,U65,H,D
D1,D,E_navy,U59,H,D
D1,D,E_neon,U33,H,D
D1,D,E_orange,U100,H,H
D1,D,E_pink,U63,H,H
D1,D,E_aqua,U41,H,H
D1,D,E_gray,U43,H,H
D2,D,A_red,U91,H,D
D2,D,A_yellow,U93,H,H
D2,D,A_green,M6,H,D
D2,D,A_purple,M5,H,H
