sample_id,genotype,clone_group,resistance,time,tank,reads,final_disease_state,exposure,susceptability
T7_H_H5_U14,U14,clone_3,0.3280738800080762,T7,H5,753,D,H,S
T3_D_D2_U15,U15,clone_16,0.4593249166781684,T3,D2,28469,D,D,R
T3_H_H1_U15,U15,clone_16,0.4593249166781684,T3,H1,30042,H,H,R
T7_D_D2_U15,U15,clone_16,0.4593249166781684,T7,D2,16336,D,D,R
T7_H_H1_U15,U15,clone_16,0.4593249166781684,T7,H1,21699,H,H,R
T7_H_H5_U15,U15,clone_16,0.4593249166781684,T7,H5,11783,D,H,R
T3_D_D1_U17,U17,clone_17,0.4126090663756678,T3,D1,39289,D,D,S
T3_H_H4_U17,U17,clone_17,0.4126090663756678,T3,H4,48147,H,H,S
T7_D_D1_U17,U17,clone_17,0.4126090663756678,T7,D1,16756,D,D,S
T7_H_H4_U17,U17,clone_17,0.4126090663756678,T7,H4,17190,H,H,S
T3_D_D1_U19,U19,clone_18,0.4356333398942291,T3,D1,60713,D,D,S
T3_H_H4_U19,U19,clone_18,0.4356333398942291,T3,H4,18682,H,H,S
T7_D_D1_U19,U19,clone_18,0.4356333398942291,T7,D1,8268,D,D,S
T7_H_H4_U19,U19,clone_18,0.4356333398942291,T7,H4,17218,H,H,S
T0_F_Field_U20,U20,clone_19,0.48361904735164635,T0,Field,31245,NA,F,R
T3_D_D2_U20,U20,clone_19,0.48361904735164635,T3,D2,24318,H,D,R
T3_H_H1_U20,U20,clone_19,0.48361904735164635,T3,H1,7328,H,H,R
T7_D_D2_U20,U20,clone_19,0.48361904735164635,T7,D2,22926,H,D,R
T7_D_D4_U20,U20,clone_19,0.48361904735164635,T7,D4,7933,H,D,R
T7_H_H1_U20,U20,clone_19,0.48361904735164635,T7,H1,17197,H,H,R
T3_D_D4_U3,U3,clone_25,0.508438248490982,T3,D4,43884,D,D,R
T3_H_H1_U3,U3,clone_25,0.508438248490982,T3,H1,10935,H,H,R
T7_D_D4_U3,U3,clone_25,0.508438248490982,T7,D4,79131,D,D,R
T7_H_H1_U3,U3,clone_25,0.508438248490982,T7,H1,11494,H,H,R
T7_H_H5_U3,U3,clone_25,0.508438248490982,T7,H5,12444,D,H,R
T0_F_Field_U31,U31,clone_20,0.22580210845954632,T0,Field,6886,NA,F,S
T3_D_D2_U31,U31,clone_20,0.22580210845954632,T3,D2,21211,D,D,S
T3_H_H1_U31,U31,clone_20,0.22580210845954632,T3,H1,49994,H,H,S
T7_D_D2_U31,U31,clone_20,0.22580210845954632,T7,D2,12462,D,D,S
T7_H_H1_U31,U31,clone_20,0.22580210845954632,T7,H1,11595,H,H,S
T7_H_H5_U31,U31,clone_20,0.22580210845954632,T7,H5,3463,D,H,S
T7_H_H5_U32,U32,NA,0.5850746003769431,T7,H5,4133,D,H,R
T3_D_D1_U33,U33,clone_21,0.2732397851191928,T3,D1,42868,D,D,S
T3_H_H5_U33,U33,clone_21,0.2732397851191928,T3,H5,70978,H,H,S
T7_D_D1_U33,U33,clone_21,0.2732397851191928,T7,D1,26091,D,D,S
T7_D_D5_U33,U33,clone_21,0.2732397851191928,T7,D5,10322,D,D,S
T7_H_H5_U33,U33,clone_21,0.2732397851191928,T7,H5,5718,H,H,S
T3_D_D4_U35,U35,clone_22,0.4356333398942291,T3,D4,52197,D,D,S
T3_H_H1_U35,U35,clone_22,0.4356333398942291,T3,H1,17520,H,H,S
T7_D_D4_U35,U35,clone_22,0.4356333398942291,T7,D4,7965,D,D,S
T7_H_H1_U35,U35,clone_22,0.4356333398942291,T7,H1,6971,H,H,S
T7_H_H5_U35,U35,clone_22,0.4356333398942291,T7,H5,6592,D,H,S
T0_F_Field_U37,U37,clone_26,0.6367881518843654,T0,Field,7154,NA,F,R
T3_D_D2_U37,U37,clone_26,0.6367881518843654,T3,D2,33299,H,D,R
T3_H_H4_U37,U37,clone_26,0.6367881518843654,T3,H4,20803,H,H,R
T7_D_D1_U37,U37,clone_26,0.6367881518843654,T7,D1,13961,H,D,R
T7_D_D2_U37,U37,clone_26,0.6367881518843654,T7,D2,15532,H,D,R
T7_H_H4_U37,U37,clone_26,0.6367881518843654,T7,H4,7097,H,H,R
T3_D_D1_U39,U39,clone_24,0.3280738800080762,T3,D1,45207,D,D,S
T3_H_H5_U39,U39,clone_24,0.3280738800080762,T3,H5,56805,H,H,S
T7_D_D1_U39,U39,clone_24,0.3280738800080762,T7,D1,16934,D,D,S
