asv_id,sample_id,log2_cpm,exposure
ASV_13,T0_H_HOMO_3,7.00214381759993,H
ASV_13,T0_H_HOMO_4,7.907431976631601,H
ASV_13,T0_H_HOMO_5,11.061981027519302,H
ASV_14,T0_D_HOMO_1,5.274104964231766,D
ASV_14,T0_D_HOMO_2,5.2741049642317686,D
ASV_14,T0_D_HOMO_3,5.274104964231766,D
ASV_14,T0_D_HOMO_4,5.2741049642317686,D
ASV_14,T0_D_HOMO_5,5.2741049642317686,D
ASV_14,T0_H_HOMO_1,9.258936055262497,H
ASV_14,T0_H_HOMO_2,5.274104964231766,H
ASV_14,T0_H_HOMO_3,5.2741049642317686,H
ASV_14,T0_H_HOMO_4,5.2741049642317686,H
ASV_14,T0_H_HOMO_5,5.2741049642317686,H
ASV_15,T0_D_HOMO_1,5.274104964231766,D
ASV_15,T0_D_HOMO_2,5.2741049642317686,D
ASV_15,T0_D_HOMO_3,7.576605417311576,D
ASV_15,T0_D_HOMO_4,8.673190145594603,D
ASV_15,T0_D_HOMO_5,8.189037586426146,D
ASV_15,T0_H_HOMO_1,5.2741049642317686,H
ASV_15,T0_H_HOMO_2,5.274104964231766,H
ASV_15,T0_H_HOMO_3,5.2741049642317686,H
ASV_15,T0_H_HOMO_4,5.2741049642317686,H
ASV_15,T0_H_HOMO_5,12.460605133745412,H
ASV_16,T0_D_HOMO_1,5.274104964231766,D
ASV_16,T0_D_HOMO_2,5.2741049642317686,D
ASV_16,T0_D_HOMO_3,5.274104964231766,D
ASV_16,T0_D_HOMO_4,5.2741049642317686,D
ASV_16,T0_D_HOMO_5,5.2741049642317686,D
ASV_16,T0_H_HOMO_1,5.2741049642317686,H
ASV_16,T0_H_HOMO_2,5.274104964231766,H
ASV_16,T0_H_HOMO_3,5.2741049642317686,H
ASV_16,T0_H_HOMO_4,5.2741049642317686,H
ASV_16,T0_H_HOMO_5,5.2741049642317686,H
ASV_17,T0_D_HOMO_1,5.274104964231766,D
ASV_17,T0_D_HOMO_2,9.13480356023074,D
ASV_17,T0_D_HOMO_3,8.422427458788517,D
ASV_17,T0_D_HOMO_4,5.2741049642317686,D
ASV_17,T0_D_HOMO_5,8.189037586426146,D
ASV_17,T0_H_HOMO_1,5.2741049642317686,H
ASV_17,T0_H_HOMO_2,5.274104964231766,H
ASV_17,T0_H_HOMO_3,5.2741049642317686,H
ASV_17,T0_H_HOMO_4,5.2741049642317686,H
ASV_17,T0_H_HOMO_5,5.2741049642317686,H
ASV_18,T0_D_HOMO_1,5.274104964231766,D
ASV_18,T0_D_HOMO_2,5.2741049642317686,D
ASV_18,T0_D_HOMO_3,5.274104964231766,D
ASV_18,T0_D_HOMO_4,5.2741049642317686,D
ASV_18,T0_D_HOMO_5,5.2741049642317686,D
ASV_18,T0_H_HOMO_1,5.2741049642317686,H
ASV_18,T0_H_HOMO_2,5.274104964231766,H
ASV_18,T0_H_HOMO_3,5.2741049642317686,H
ASV_18,T0_H_HOMO_4,5.2741049642317686,H
ASV_18,T0_H_HOMO_5,5.2741049642317686,H
ASV_19,T0_D_HOMO_1,5.274104964231766,D
ASV_19,T0_D_HOMO_2,5.2741049642317686,D
ASV_19,T0_D_HOMO_3,7.576605417311576,D
ASV_19,T0_D_HOMO_4,5.2741049642317686,D
ASV_19,T0_D_HOMO_5,5.2741049642317686,D
ASV_19,T0_H_HOMO_1,8.671261272144875,H
ASV_19,T0_H_HOMO_2,5.274104964231766,H
ASV_19,T0_H_HOMO_3,5.2741049642317686,H
ASV_19,T0_H_HOMO_4,6.476452447816051,H
ASV_19,T0_H_HOMO_5,11.061981027519302,H
ASV_20,T0_D_HOMO_1,5.274104964231766,D
ASV_20,T0_D_HOMO_2,5.2741049642317686,D
ASV_20,T0_D_HOMO_3,5.274104964231766,D
ASV_20,T0_D_HOMO_4,5.2741049642317686,D
ASV_20,T0_D_HOMO_5,5.2741049642317686,D
ASV_20,T0_H_HOMO_1,5.2741049642317686,H
ASV_20,T0_H_HOMO_2,5.274104964231766,H
ASV_20,T0_H_HOMO_3,5.2741049642317686,H
ASV_20,T0_H_HOMO_4,7.123013659021089,H
ASV_20,T0_H_HOMO_5,5.2741049642317686,H
ASV_21,T0_D_HOMO_1,5.274104964231766,D
ASV_21,T0_D_HOMO_2,7.405640071026286,D
ASV_21,T0_D_HOMO_3,7.576605417311576,D
ASV_21,T0_D_HOMO_4,5.2741049642317686,D
ASV_21,T0_D_HOMO_5,5.2741049642317686,D
ASV_21,T0_H_HOMO_1,5.2741049642317686,H
ASV_21,T0_H_HOMO_2,5.274104964231766,H
ASV_21,T0_H_HOMO_3,5.2741049642317686,H
ASV_21,T0_H_HOMO_4,5.2741049642317686,H
ASV_21,T0_H_HOMO_5,5.2741049642317686,H
ASV_22,T0_D_HOMO_1,11.15040789425537,D
ASV_22,T0_D_HOMO_2,9.898957073851998,D
ASV_22,T0_D_HOMO_3,7.576605417311576,D
ASV_22,T0_D_HOMO_4,10.881342316070032,D
ASV_22,T0_D_HOMO_5,10.037925290556775,D
ASV_22,T0_H_HOMO_1,5.2741049642317686,H
ASV_22,T0_H_HOMO_2,5.274104964231766,H
ASV_22,T0_H_HOMO_3,5.2741049642317686,H
ASV_22,T0_H_HOMO_4,5.2741049642317686,H
ASV_22,T0_H_HOMO_5,5.2741049642317686,H
ASV_23,T0_D_HOMO_1,6.521906431675582,D
ASV_23,T0_D_HOMO_2,9.686277383189081,D
ASV_23,T0_D_HOMO_3,8.952104815138654,D
ASV_23,T0_D_HOMO_4,11.358288364790461,D
ASV_23,T0_D_HOMO_5,11.463161816132004,D
ASV_23,T0_H_HOMO_1,14.09535735501704,H
